Cal Year,Cal Quarter,Cal Month,Cal Month #,Province,Market,Media Type,Media Sub Type,Ad Spend
2023,Q2,May,05,Ontario,Barrie - Orillia,Out of Home,Billboards,3109
2020,Q2,May,05,Multi-Market,Multi-Market,Digital,Print - Digital,1747
2019,Q1,March,03,National,National,Magazines,Consumer Magazines,2526172
2023,Q1,January,01,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Conventional TV,329109
2020,Q1,February,02,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Spot TV,94895
2022,Q2,April,04,Alberta,Lloydminster,Linear Television,Specialty TV,1213
2019,Q4,November,11,Ontario,Thunder Bay,Linear Television,Spot TV,97577
2020,Q1,March,03,Ontario,Windsor,Out of Home,Billboards,6702
2018,Q3,July,07,Saskatchewan,Prince Albert,Linear Television,Conventional TV,20181
2021,Q3,September,09,Ontario,Toronto - Hamilton - Niagara Falls,Linear Television,Conventional TV,12856062
2022,Q3,September,09,British Columbia,Vancouver - Victoria,Linear Television,Spot TV,3081369
2021,Q3,September,09,Manitoba,Winnipeg - Brandon,Newspapers,Community Newspaper,6866
2022,Q3,August,08,Northwest Territories,Yellowknife,Radio,Spot Radio,6479
2021,Q2,May,05,Yukon,Whitehorse,Newspapers,Dailies,3040
2018,Q1,February,02,Multi-Market,Multi-Market,Magazines,Other,6853
2021,Q2,June,06,Quebec,Montreal - Laval,Linear Television,Spot TV,992282
2023,Q3,July,07,Yukon,Whitehorse,Radio,Spot Radio,7971
2018,Q3,September,09,Ontario,Toronto - Hamilton - Niagara Falls,Out of Home,Street Furniture/Retail,168361
2019,Q4,November,11,Ontario,Peterborough - Belleville - Trenton,Radio,Spot Radio,397307
2020,Q4,December,12,Ontario,Kenora,Linear Television,Conventional TV,441
2019,Q1,March,03,British Columbia,Dawson Creek,Linear Television,Conventional TV,10580
2018,Q3,September,09,National,National,Magazines,Ad Sales House,132652
2022,Q1,March,03,Multi-Market,Ottawa - Gatineau,Out of Home,Billboards,3614
2019,Q2,May,05,Multi-Market,Ottawa - Gatineau,Linear Television,Conventional TV,1657688
2020,Q2,June,06,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Linear Television,Spot TV,79
2019,Q3,July,07,Quebec,Sherbrooke,Out of Home,Billboards,6668
2023,Q3,September,09,National,National,Digital,Print - Digital,5034257
2022,Q1,February,02,Nova Scotia,Halifax - Dartmouth,Out of Home,Other,353
2018,Q2,April,04,Alberta,Edmonton,Newspapers,Community Newspaper,69892
2019,Q4,October,10,Quebec,Chaleur Bay - Carleton,Linear Television,Spot TV,2332
2020,Q2,June,06,Ontario,Barrie - Orillia,Radio,Network Radio,10407
2023,Q1,March,03,Ontario,Kingston,Radio,Spot Radio,133742
2022,Q1,January,01,Saskatchewan,Saskatoon,Radio,Spot Radio,114010
2019,Q1,March,03,British Columbia,Vancouver - Victoria,Digital,Pure Play - Content,275
2021,Q3,July,07,Ontario,Sudbury - Timmins - North Bay,Linear Television,Conventional TV,293659
2021,Q1,March,03,British Columbia,Vancouver - Victoria,Radio,Spot Radio,2484515
2022,Q3,August,08,Ontario,Windsor,Newspapers,Dailies,4281
2020,Q4,October,10,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Newspapers,Community Newspaper,2079
2023,Q2,April,04,Alberta,Medicine Hat,Radio,Spot Radio,76545
2023,Q3,July,07,Quebec,Saguenay,Radio,Spot Radio,91080
2020,Q3,July,07,Newfoundland and Labrador,St. Johns - Corner Brook,Newspapers,Community Newspaper,2148
2022,Q1,March,03,Multi-Market,Rimonouski - Sept Iles - Perce - Bathurst,Linear Television,Conventional TV,44591
2021,Q3,August,08,Multi-Market,Multi-Market,Magazines,Trade Magazines,15138
2018,Q2,June,06,British Columbia,Vancouver - Victoria,Magazines,Trade Magazines,7071
2022,Q2,May,05,National,National,Digital,Ad Network/Ad Exchange,99883264
2020,Q4,October,10,Ontario,Toronto - Hamilton - Niagara Falls,Newspapers,Dailies,109150
2019,Q2,April,04,Quebec,Saguenay,Linear Television,Spot TV,52875
2020,Q4,November,11,Quebec,Quebec City - Levis,Magazines,Consumer Magazines,102685
2020,Q3,September,09,Quebec,Quebec City - Levis,Newspapers,Community Newspaper,374885
2023,Q2,June,06,Quebec,Rouyn - Noranda - Val D'Or,Linear Television,Conventional TV,11694
2019,Q4,December,12,British Columbia,Terrace - Kitimat - Prince Rupert,Linear Television,Conventional TV,13550
2023,Q2,May,05,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Magazines,Consumer Magazines,5223
